sample_id,surface_area_before,surface_area_after,pore_volume_before,pore_volume_after,amine_type,molecular_weight,nitrogen_atom_content,primary_amine_proportion,secondary_amine_proportion,tertiary_amine_proportion,amine_loading,temperature,co2_partial_pressure,relative_humidity,co2_adsorbed_amount
S01,643.03,205.98,1.1441,0.4717,PEI_linear,800,0.3256,0,1,0,0.25,25,400,0,0.72
S02,643.03,13.089,1.1441,0.0505,PEI_linear,800,0.3256,0,1,0,0.50,25,400,0,1.34
S03,643.03,1.87,1.1441,0.0027,PEI_linear,800,0.3256,0,1,0,0.75,25,400,0,1.90
S04,643.03,250.38,1.1441,0.6024,TEPA,189.3,0.37,0.4,0.6,0,0.25,25,400,0,0.89
S05,643.03,174.10,1.1441,0.3533,TEPA,189.3,0.37,0.4,0.6,0,0.50,25,400,0,2.30
S06,643.03,0.83,1.1441,0.0018,TEPA,189.3,0.37,0.4,0.6,0,0.75,25,400,0,3.44
S07,185.00,110.00,1.15,0.642,PEI_branched,600,0.3256,0.364,0.273,0.364,0.33,25,400,0,1.08
S08,185.00,31.00,1.15,0.258,PEI_branched,600,0.3256,0.364,0.273,0.364,0.50,25,400,0,1.66
S09,185.00,20.00,1.15,0.020,PEI_branched,600,0.3256,0.364,0.273,0.364,0.67,25,400,0,2.27
S10,526.00,116.00,0.959,0.360,PEI_branched,600,0.3256,0.364,0.273,0.364,0.33,25,400,0,1.08
S11,526.00,17.00,0.959,0.033,PEI_branched,600,0.3256,0.364,0.273,0.364,0.50,25,400,0,1.46
S12,526.00,8.00,0.959,0.010,PEI_branched,600,0.3256,0.364,0.273,0.364,0.67,25,400,0,1.92
S13,999.00,153.00,3.10,1.110,PEI_branched,600,0.3256,0.364,0.273,0.364,0.55,25,400,0,2.56
S14,999.00,104.00,3.10,0.690,PEI_branched,600,0.3256,0.364,0.273,0.364,0.60,25,400,0,2.83
S15,999.00,71.00,3.10,0.460,PEI_branched,600,0.3256,0.364,0.273,0.364,0.65,25,400,0,2.75
S16,999.00,46.00,3.10,0.340,PEI_branched,600,0.3256,0.364,0.273,0.364,0.70,25,5000,0,2.12
S17,700.00,389.00,0.96,0.680,PGA,1813,0.1916,1,0,0,0.26,35,5000,0,0.14
S18,700.00,332.00,0.96,0.600,PGA,1813,0.1916,1,0,0,0.31,35,5000,0,0.30
S19,700.00,147.00,0.96,0.270,PGA,1813,0.1916,1,0,0,0.41,35,5000,0,0.66
